StructureName,Pattern,ExampleSentence,Subject,Verb,Completion,Notes,Category
Subject-Verb,"S-V","Avem volare.","Avis","volat","(none)","Basic Latin structure: who/what does the action.","sentence"
Subject-Verb-Object,"S-V-O","Puer librum legit.","Puer","legit","librum","Subject performs action on the object.","sentence"
Subject-Verb-Adjective,"S-V-Adj","Caelum caeruleum est.","Caelum","est","caeruleum","Describes the subject using 'be' verb.","sentence"
Subject-Verb-Adverb,"S-V-Adv","Puer celeriter currit.","Puer","currit","celeriter","Describes how the action is done.","sentence"
Subject-Verb-PrepositionalPhrase,"S-V-PP","Liber in mensa est.","Liber","est","in mensa","Indicates location.","sentence"
Yes/No Question,"Estne...?","Estne puella laeta?","puella","est","laeta","Asks about a state or description.","sentence"
Simple Negative,"Non...","Non est frigidum.","(none)","est","frigidum","Negates a state or description.","sentence"
Command,"V-(O/PP)","Claude ianuam.","(Tu - implied)","claude","ianuam","Gives an instruction.","sentence"
Arithmetic,"I + I","I + I = II","I","+","I","Basic addition in Roman numerals.","arithmetic"
Arithmetic,"II * III","II * III = VI","II","*","III","Basic multiplication in Roman numerals.","arithmetic"
Arithmetic,"X - V","X - V = V","X","-","V","Basic subtraction in Roman numerals.","arithmetic"
Arithmetic,"VI / II","VI / II = III","VI","/","II","Basic division in Roman numerals.","arithmetic"
Mixed,"S-V-O + Arithmetic","Puer habet I + II libros.","Puer","habet","I + II libros","Combines sentence structure with arithmetic.","mixed"
Mixed,"S-V-Adj + Arithmetic","Sumus III + IV in numero.","Nos","sumus","III + IV in numero","Combines description with arithmetic.","mixed"
Mixed,"S-V-PP + Arithmetic","Est in via II + III.","(none)","est","in via II + III","Combines location with arithmetic.","mixed" 
