,type,input,output,pattern,notes,example_sentence,subject,verb,completion
80,structure,Avem volare.,S-V,Subject-Verb,Basic Latin structure: who/what does the action.,Avem volare.,Avis,volat,(none)
81,structure,Puer librum legit.,S-V-O,Subject-Verb-Object,Subject performs action on the object.,Puer librum legit.,Puer,legit,librum
82,structure,Caelum caeruleum est.,S-V-Adj,Subject-Verb-Adjective,Describes the subject using 'be' verb.,Caelum caeruleum est.,Caelum,est,caeruleum
83,structure,Puer celeriter currit.,S-V-Adv,Subject-Verb-Adverb,Describes how the action is done.,Puer celeriter currit.,Puer,currit,celeriter
84,structure,Liber in mensa est.,S-V-PP,Subject-Verb-PrepositionalPhrase,Indicates location.,Liber in mensa est.,Liber,est,in mensa
85,structure,Estne puella laeta?,Estne...?,Yes/No Question,Asks about a state or description.,Estne puella laeta?,puella,est,laeta
86,structure,Non est frigidum.,Non...,Simple Negative,Negates a state or description.,Non est frigidum.,(none),est,frigidum
87,structure,Claude ianuam.,V-(O/PP),Command,Gives an instruction.,Claude ianuam.,(Tu - implied),claude,ianuam
88,structure,I + I = II,I + I,Arithmetic,Basic addition in Roman numerals.,I + I = II,I,+,I
89,structure,II * III = VI,II * III,Arithmetic,Basic multiplication in Roman numerals.,II * III = VI,II,*,III
90,structure,X - V = V,X - V,Arithmetic,Basic subtraction in Roman numerals.,X - V = V,X,-,V
91,structure,VI / II = III,VI / II,Arithmetic,Basic division in Roman numerals.,VI / II = III,VI,/,II
92,structure,Puer habet I + II libros.,S-V-O + Arithmetic,Mixed,Combines sentence structure with arithmetic.,Puer habet I + II libros.,Puer,habet,I + II libros
93,structure,Sumus III + IV in numero.,S-V-Adj + Arithmetic,Mixed,Combines description with arithmetic.,Sumus III + IV in numero.,Nos,sumus,III + IV in numero
94,structure,Est in via II + III.,S-V-PP + Arithmetic,Mixed,Combines location with arithmetic.,Est in via II + III.,(none),est,in via II + III
